simulation,total_count,observed_total,expected_total,model
1,760,825,771.7240777531075,Nonlinear IPPP
2,780,825,771.7240777531075,Nonlinear IPPP
3,791,825,771.7240777531075,Nonlinear IPPP
4,759,825,771.7240777531075,Nonlinear IPPP
5,825,825,771.7240777531075,Nonlinear IPPP
6,766,825,771.7240777531075,Nonlinear IPPP
7,776,825,771.7240777531075,Nonlinear IPPP
8,783,825,771.7240777531075,Nonlinear IPPP
9,721,825,771.7240777531075,Nonlinear IPPP
10,733,825,771.7240777531075,Nonlinear IPPP
11,742,825,771.7240777531075,Nonlinear IPPP
12,716,825,771.7240777531075,Nonlinear IPPP
13,737,825,771.7240777531075,Nonlinear IPPP
14,787,825,771.7240777531075,Nonlinear IPPP
15,801,825,771.7240777531075,Nonlinear IPPP
16,810,825,771.7240777531075,Nonlinear IPPP
17,734,825,771.7240777531075,Nonlinear IPPP
18,806,825,771.7240777531075,Nonlinear IPPP
19,730,825,771.7240777531075,Nonlinear IPPP
20,764,825,771.7240777531075,Nonlinear IPPP
21,760,825,771.7240777531075,Nonlinear IPPP
22,768,825,771.7240777531075,Nonlinear IPPP
23,770,825,771.7240777531075,Nonlinear IPPP
24,787,825,771.7240777531075,Nonlinear IPPP
25,771,825,771.7240777531075,Nonlinear IPPP
26,775,825,771.7240777531075,Nonlinear IPPP
27,750,825,771.7240777531075,Nonlinear IPPP
28,733,825,771.7240777531075,Nonlinear IPPP
29,765,825,771.7240777531075,Nonlinear IPPP
30,769,825,771.7240777531075,Nonlinear IPPP
31,732,825,771.7240777531075,Nonlinear IPPP
32,750,825,771.7240777531075,Nonlinear IPPP
33,827,825,771.7240777531075,Nonlinear IPPP
34,799,825,771.7240777531075,Nonlinear IPPP
35,788,825,771.7240777531075,Nonlinear IPPP
36,735,825,771.7240777531075,Nonlinear IPPP
37,763,825,771.7240777531075,Nonlinear IPPP
38,776,825,771.7240777531075,Nonlinear IPPP
39,811,825,771.7240777531075,Nonlinear IPPP
40,768,825,771.7240777531075,Nonlinear IPPP
41,746,825,771.7240777531075,Nonlinear IPPP
42,775,825,771.7240777531075,Nonlinear IPPP
43,759,825,771.7240777531075,Nonlinear IPPP
44,764,825,771.7240777531075,Nonlinear IPPP
45,791,825,771.7240777531075,Nonlinear IPPP
46,780,825,771.7240777531075,Nonlinear IPPP
47,774,825,771.7240777531075,Nonlinear IPPP
48,773,825,771.7240777531075,Nonlinear IPPP
49,766,825,771.7240777531075,Nonlinear IPPP
50,802,825,771.7240777531075,Nonlinear IPPP
51,814,825,771.7240777531075,Nonlinear IPPP
52,823,825,771.7240777531075,Nonlinear IPPP
53,794,825,771.7240777531075,Nonlinear IPPP
54,752,825,771.7240777531075,Nonlinear IPPP
55,705,825,771.7240777531075,Nonlinear IPPP
56,753,825,771.7240777531075,Nonlinear IPPP
57,772,825,771.7240777531075,Nonlinear IPPP
58,785,825,771.7240777531075,Nonlinear IPPP
59,752,825,771.7240777531075,Nonlinear IPPP
60,800,825,771.7240777531075,Nonlinear IPPP
61,754,825,771.7240777531075,Nonlinear IPPP
62,807,825,771.7240777531075,Nonlinear IPPP
63,793,825,771.7240777531075,Nonlinear IPPP
64,779,825,771.7240777531075,Nonlinear IPPP
65,753,825,771.7240777531075,Nonlinear IPPP
66,744,825,771.7240777531075,Nonlinear IPPP
67,751,825,771.7240777531075,Nonlinear IPPP
68,762,825,771.7240777531075,Nonlinear IPPP
69,756,825,771.7240777531075,Nonlinear IPPP
70,786,825,771.7240777531075,Nonlinear IPPP
71,762,825,771.7240777531075,Nonlinear IPPP
72,696,825,771.7240777531075,Nonlinear IPPP
73,751,825,771.7240777531075,Nonlinear IPPP
74,827,825,771.7240777531075,Nonlinear IPPP
75,788,825,771.7240777531075,Nonlinear IPPP
76,765,825,771.7240777531075,Nonlinear IPPP
77,754,825,771.7240777531075,Nonlinear IPPP
78,812,825,771.7240777531075,Nonlinear IPPP
79,780,825,771.7240777531075,Nonlinear IPPP
80,779,825,771.7240777531075,Nonlinear IPPP
81,743,825,771.7240777531075,Nonlinear IPPP
82,782,825,771.7240777531075,Nonlinear IPPP
83,770,825,771.7240777531075,Nonlinear IPPP
84,816,825,771.7240777531075,Nonlinear IPPP
85,793,825,771.7240777531075,Nonlinear IPPP
86,716,825,771.7240777531075,Nonlinear IPPP
87,801,825,771.7240777531075,Nonlinear IPPP
88,772,825,771.7240777531075,Nonlinear IPPP
89,779,825,771.7240777531075,Nonlinear IPPP
90,764,825,771.7240777531075,Nonlinear IPPP
91,792,825,771.7240777531075,Nonlinear IPPP
92,787,825,771.7240777531075,Nonlinear IPPP
93,752,825,771.7240777531075,Nonlinear IPPP
94,720,825,771.7240777531075,Nonlinear IPPP
95,770,825,771.7240777531075,Nonlinear IPPP
96,789,825,771.7240777531075,Nonlinear IPPP
97,770,825,771.7240777531075,Nonlinear IPPP
98,747,825,771.7240777531075,Nonlinear IPPP
99,791,825,771.7240777531075,Nonlinear IPPP
100,761,825,771.7240777531075,Nonlinear IPPP
101,682,825,771.7240777531075,Nonlinear IPPP
102,755,825,771.7240777531075,Nonlinear IPPP
103,758,825,771.7240777531075,Nonlinear IPPP
104,738,825,771.7240777531075,Nonlinear IPPP
105,795,825,771.7240777531075,Nonlinear IPPP
106,793,825,771.7240777531075,Nonlinear IPPP
107,772,825,771.7240777531075,Nonlinear IPPP
108,765,825,771.7240777531075,Nonlinear IPPP
109,701,825,771.7240777531075,Nonlinear IPPP
110,750,825,771.7240777531075,Nonlinear IPPP
111,796,825,771.7240777531075,Nonlinear IPPP
112,812,825,771.7240777531075,Nonlinear IPPP
113,797,825,771.7240777531075,Nonlinear IPPP
114,737,825,771.7240777531075,Nonlinear IPPP
115,767,825,771.7240777531075,Nonlinear IPPP
116,797,825,771.7240777531075,Nonlinear IPPP
117,760,825,771.7240777531075,Nonlinear IPPP
118,725,825,771.7240777531075,Nonlinear IPPP
119,701,825,771.7240777531075,Nonlinear IPPP
120,807,825,771.7240777531075,Nonlinear IPPP
121,743,825,771.7240777531075,Nonlinear IPPP
122,773,825,771.7240777531075,Nonlinear IPPP
123,763,825,771.7240777531075,Nonlinear IPPP
124,831,825,771.7240777531075,Nonlinear IPPP
125,762,825,771.7240777531075,Nonlinear IPPP
126,775,825,771.7240777531075,Nonlinear IPPP
127,757,825,771.7240777531075,Nonlinear IPPP
128,771,825,771.7240777531075,Nonlinear IPPP
129,770,825,771.7240777531075,Nonlinear IPPP
130,722,825,771.7240777531075,Nonlinear IPPP
131,751,825,771.7240777531075,Nonlinear IPPP
132,788,825,771.7240777531075,Nonlinear IPPP
133,787,825,771.7240777531075,Nonlinear IPPP
134,810,825,771.7240777531075,Nonlinear IPPP
135,779,825,771.7240777531075,Nonlinear IPPP
136,759,825,771.7240777531075,Nonlinear IPPP
137,700,825,771.7240777531075,Nonlinear IPPP
138,790,825,771.7240777531075,Nonlinear IPPP
139,781,825,771.7240777531075,Nonlinear IPPP
140,745,825,771.7240777531075,Nonlinear IPPP
141,759,825,771.7240777531075,Nonlinear IPPP
142,793,825,771.7240777531075,Nonlinear IPPP
143,752,825,771.7240777531075,Nonlinear IPPP
144,751,825,771.7240777531075,Nonlinear IPPP
145,791,825,771.7240777531075,Nonlinear IPPP
146,766,825,771.7240777531075,Nonlinear IPPP
147,808,825,771.7240777531075,Nonlinear IPPP
148,774,825,771.7240777531075,Nonlinear IPPP
149,789,825,771.7240777531075,Nonlinear IPPP
